FID,Status,Title,Ident Code,Criteria Categories,Criteria,Qualifying Species,#Qualifying Species,Supporting Species,#Supporting Species,Region,Region Code,Location,Location Code,Area Square Kilometers,Month Submitted,Year Submitted,Month Classified,Year Classified,Month Modified,Year Modified,Details
106,IMMA,Savu Sea and Surrounding Areas IMMA,20NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, C3, D2","Physeter macrocephalus, Stenella longirostris, Peponocephala electra, Lagenodelphis hosei, Balaenoptera musculus, Tursiops aduncus",6,"Stenella attenuata, Grampus griseus, Feresa attenuata, Kogia sima, Kogia breviceps, Globicephala macrorhynchus, Orcinus orca, Pseudorca crassidens, Steno bredanensis, Ziphius cavirostris, Balaenoptera edeni, Megaptera novaeangliae, Tursiops truncatus, Dugong dugon",14,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Indonesia, Timor-Leste","IDN, TLS",160512,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/savu-sea-surrounding-area/
107,IMMA,Similajau-Kuala Nyalau Coastline IMMA,21NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1","Orcaella brevirostris, Sousa chinensis, Neophocaena phocaenoides",3,NULL,NULL,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Malaysia,MYS,1235,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/similajau-kuala-nyalau-coastline/
108,IMMA,South West to Eastern Sri Lanka IMMA,22NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, C2, D2","Balaenoptera musculus, Physeter macrocephalus, Stenella longirostris",3,"Balaenoptera edeni, Balaenoptera omurai, Stenella attenuata, Stenella coeruleoalba, Tursiops truncatus, Steno bredanensis, Lagenodelphis hosei, Grampus griseus, Globicephala macrorhynchus, Peponocephala electra, Pseudorca crassidens, Feresa attenuata, Orcinus orca, Kogia sima, Kogia breviceps",15,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Sri Lanka,LKA,28699,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/southwest-east-sri-lanka/
109,IMMA,Southern Andaman Islands IMMA,23NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C1, C2, D2","Dugong dugon, Tursiops aduncus",2,"Stenella longirostris, Stenella attenuata, Stenella coeruleoalba, Lagenodelphis hosei, Grampus griseus, Orcinus orca, Pseudorca crassidens, Peponocephala electra, Globicephala macrorhynchus, Indopacetus pacificus, Ziphius cavirostris, Kogia sima, Physeter macrocephalus, Balaenoptera omurai",14,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Andaman and Nicobar Islands,INAN,14441,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/southern-andaman-islands/
110,IMMA,Southern Bali Peninsula and Adjacent Slope IMMA,24NIOSEA181919IMMA,"Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","C2, D2","Balaenoptera edeni, Stenella longirostris",2,"Physeter macrocephalus, Balaenoptera musculus, Balaenoptera omurai, Feresa attenuata, Globicephala macrorhynchus, Grampus griseus, Lagenodelphis hosei, Megaptera novaeangliae, Orcinus orca, Pseudorca crassidens, Stenella attenuata, Steno bredanensis, Tursiops truncatus",13,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,2239,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/southern-bali-peninsula-slope/
111,IMMA,Sundarbans IMMA,25NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B2","Orcaella brevirostris, Platanista gangetica",2,"Sousa chinensis, Neophocaena phocaenoides",2,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Bangladesh, India","BGD, IND",3663,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/sundarbans/
112,IMMA,Swatch-of-No-Ground IMMA,26NIOSEA181919IMMA,"Criterion B - Distribution and Abundance, Criterion D - Special Attributes","B2, D1","Tursiops aduncus, Balaenoptera edeni",2,"Stenella attenuata, Stenella longirostris, Steno bredanensis, Pseudorca crassidens",4,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,"Bangladesh, India","BGD, IND",1960,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/swatch-of-no-ground/
113,IMMA,Tanon Strait IMMA,27NIOSEA181919IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","B1, C2, C3, D2","Tursiops aduncus, Stenella longirostris",2,"Tursiops aduncus, Stenella longirostris, Grampus griseus, Globicephala macrorhynchus, Kogia sima, Peponocephala electra, Pseudorca crassidens, Stenella attenuata",8,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Philippines,PHL,5371,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/tanon-strait/
114,IMMA,Tolitoli IMMA,28NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2",Dugong dugon,1,NULL,NULL,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,2467,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/tolitoli/
115,IMMA,Wakatobi and Adjacent Waters IMMA,29NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C2, D2","Physeter macrocephalus, Stenella longirostris",2,"Balaenoptera musculus, Ziphius cavirostris, Peponocephala electra, Tursiops truncatus, Grampus griseus, Stenella attenuata, Balaenoptera edeni, Globicephala macrorhynchus, Tursiops aduncus",9,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,26815,3,2018,1,2019,1,2019,https://www.marinemammalhabitat.org/portfolio-item/wakatobi-adjacent-waters/
116,IMMA,Western Lesser Sunda Islands and Sumba Coastal Area IMMA,30NIOSEA181919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2",Dugong dugon,1,"Stenella longirostris, Stenella attenuata",2,Northeast Indian Ocean and Southeast Asian Seas,NIOSEA,Indonesia,IDN,759,3,2018,1,2018,1,2019,https://www.marinemammalhabitat.org/portfolio-item/lesser-sunda-sumba-coast/
117,IMMA,Austral Archipelago IMMA,01PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1",Megaptera novaeangliae,1,"Physeter macrocephalus, Stenella longirostris, Tursiops truncatus, Ziphius cavirostris, Mesoplodon densirostris, Stenella attenuata, Steno bredanensis",7,Pacific Islands,PACISL,French Polynesia,PYF,32291,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/austral-archipelago/
118,IMMA,Bismarck Sea IMMA,02PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C1, C2, D2","Orcinus orca, Physeter macrocephalus",2,"Stenella longirostris, Tursiops truncatus, Tursiops aduncus, Stenella attenuata, Grampus griseus, Globicephala macrorhynchus, Ziphius cavirostris",7,Pacific Islands,PACISL,Papua New Guinea,PNG,22533,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/bismarck-sea/
119,IMMA,Chesterfield-Bellona Coral Reef Complex and Seamounts IMMA,03PACISL172020IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1, C3",Megaptera novaeangliae,1,"Stenella longirostris, Tursiops aduncus",2,Pacific Islands,PACISL,"New Caledonia, High Seas","NCL, ABNJ",59852,3,2017,7,2020,7,2020,https://www.marinemammalhabitat.org/portfolio-item/chesterfield-bellona-coral-reef-complex-seamounts/
120,IMMA,Cook Islands Southern Group IMMA,04PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, C3, D2","Megaptera novaeangliae, Stenella longirostris",2,"Balaenoptera bonaerensis, Mesoplodon densirostris, Balaenoptera musculus, Balaenoptera edeni, Ziphius cavirostris, Pseudorca crassidens, Balaenoptera physalus, Lagenodelphis hosei, Peponocephala electra, Balaenoptera omurai, Feresa attenuata, Steno bredanensis, Balaenoptera borealis, Globicephala macrorhynchus, Physeter macrocephalus",15,Pacific Islands,PACISL,"Cook Islands, French Polynesia, High Seas","COK, PYF, ABNJ",431498,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/cook-islands-southern-group/
121,IMMA,Kikori Delta IMMA,05PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, B2, C1, C2","Orcaella heinsohni, Sousa sahulensis",2,"Tursiops aduncus, Dugong dugon",2,Pacific Islands,PACISL,Papua New Guinea,PNG,2032,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/kikori-delta/
122,IMMA,Kona Coast of Hawaii Island IMMA,06PACISL171717IMMA,"Criterion B - Distribution and Abundance, Criterion D - Special Attributes","B1, B2, D1",Stenella longirostris,1,NULL,NULL,Pacific Islands,PACISL,United States,USA,97,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/kona-coast-hawaii-island/
123,IMMA,Main Hawaiian Archipelago IMMA,07PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, D2","Stenella longirostris, Tursiops truncatus, Feresa attenuata, Globicephala macrorhynchus, Mesoplodon densirostris, Peponocephala electra, Kogia sima, Stenella attenuata, Steno bredanensis, Ziphius cavirostris, Pseudorca crassidens, Megaptera novaeangliae",12,"Neomonachus schauinslandi, Stenella coeruleoalba, Steno bredanensis, Grampus griseus, Kogia breviceps, Physeter macrocephalus, Indopacetus pacificus, Balaenoptera physalus, Balaenoptera acutorostrata, Balaenoptera borealis",10,Pacific Islands,PACISL,United States,USA,61950,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/main-hawaiian-archipelago/
124,IMMA,Main Hawaiian Islands IMMA,08PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1",Neomonachus schauinslandi,1,"Stenella longirostris, Tursiops truncatus, Feresa attenuata, Globicephala macrorhynchus, Kogia sima, Mesoplodon densirostris, Peponocephala electra, Stenella attenuata, Steno bredanensis, Ziphius cavirostris, Pseudorca crassidens, Megaptera novaeangliae",12,Pacific Islands,PACISL,United States,USA,6396,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/main-hawaiian-islands/
125,IMMA,Main Solomon Islands IMMA,09PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion D - Special Attributes","A, B1, B2, D2","Tursiops aduncus, Dugong dugon, Balaenoptera omurai",3,"Physeter macrocephalus, Peponocephala electra, Mesoplodon densirostris, Lagenodelphis hosei, Kogia breviceps, Ziphius cavirostris, Globicephala macrorhynchus, Pseudorca crassidens, Balaenoptera acutorostrata, Orcinus orca, Stenella attenuata, Steno bredanensis, Tursiops truncatus, Stenella coeruleoalba, Grampus griseus, Delphinus delphis, Orcaella brevirostris, Stenella longirostris",18,Pacific Islands,PACISL,"Papua New Guinea, Solomon Islands","PNG, SLB",278494,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/main-solomon-islands/ ?
126,IMMA,Marquesas Archipelago IMMA,10PACISL171717IMMA,"Criterion B - Distribution and Abundance, Criterion D - Special Attributes","B2, D1, D2","Peponocephala electra, Stenella longirostris",2,"Physeter macrocephalus, Megaptera novaeangliae, Mesoplodon densirostris, Lagenodelphis hosei, Kogia sima, Ziphius cavirostris, Globicephala macrorhynchus, Pseudorca crassidens, Feresa attenuata, Orcinus orca, Stenella attenuata, Steno bredanensis, Tursiops truncatus, Grampus griseus",14,Pacific Islands,PACISL,French Polynesia,PYF,100460,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/marquesas-archipelago/
127,IMMA,New Caledonia Southern Seamounts and Banks IMMA,11PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, D1",Megaptera novaeangliae,1,NULL,NULL,Pacific Islands,PACISL,New Caledonia,NCL,18758,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/new-caledonia-southern-seamounts/
128,IMMA,New Caledonian Lagoons and Shelf Waters IMMA,12PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, D1","Megaptera novaeangliae, Dugong dugon, Tursiops aduncus",3,"Stenella longirostris, Balaenoptera acutorostrata, Balaenoptera omurai",3,Pacific Islands,PACISL,New Caledonia,NCL,27799,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/new-caledonian-main-island-lagoons-and-shelf/
129,IMMA,Northwestern Hawaiian Islands IMMA,13PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1","Neomonachus schauinslandi, Stenella longirostris",2,"Tursiops truncatus, Feresa attenuata, Globicephala macrorhynchus, Kogia sima, Mesoplodon densirostris, Peponocephala electra, Stenella attenuata, Steno bredanensis, Ziphius cavirostris, Pseudorca crassidens, Megaptera novaeangliae",11,Pacific Islands,PACISL,United States,USA,17210,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/north-west-hawaiian-islands/
130,IMMA,Palmyra Atoll IMMA,14PACISL171717IMMA,"Criterion B - Distribution and Abundance, Criterion D - Special Attributes","B2, D1",Peponocephala electra,1,NULL,NULL,Pacific Islands,PACISL,Palmyra Atoll,UMI,93,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/palmyra-atoll/
131,IMMA,Samoan Archipelago IMMA,15PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, D1, D2","Megaptera novaeangliae, Stenella longirostris, Steno bredanensis",3,"Kogia sima, Mesoplodon densirostris, Ziphius cavirostris, Globicephala macrorhynchus, Pseudorca crassidens, Stenella attenuata, Physeter macrocephalus, Tursiops truncatus",8,Pacific Islands,PACISL,"American Samoa, Samoa","ASM, WSM",12548,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/samoan-archipelago/
132,IMMA,Society Archipelago IMMA,16PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, D1, D2","Megaptera novaeangliae, Stenella longirostris, Steno bredanensis",3,"Kogia sima, Mesoplodon densirostris, Ziphius cavirostris, Peponocephala electra, Lagenodelphis hosei, Orcinus orca, Globicephala macrorhynchus, Pseudorca crassidens, Feresa attenuata, Grampus griseus, Stenella attenuata, Physeter macrocephalus, Tursiops truncatus",13,Pacific Islands,PACISL,French Polynesia,PYF,19028,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/society-archipelago/
133,IMMA,Southern Shelf Waters and Reef Edge of Palau IMMA,17PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C2, D1",Dugong dugon,1,"Feresa attenuata, Physeter macrocephalus, Peponocephala electra, Stenella longirostris, Stenella attenuata, Pseudorca crassidens, Globicephala macrorhynchus",7,Pacific Islands,PACISL,Palau,PLW,1490,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/southern-shelf-waters-slope-edge-palau/
134,IMMA,Tongan Archipelago IMMA,18PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, D1, D2","Megaptera novaeangliae, Stenella longirostris",2,"Physeter macrocephalus, Balaenoptera musculus brevicauda, Balaenoptera acutorostrata, Balaenoptera bonaerensis, Balaenoptera borealis, Balaenoptera brydei, Kogia sima, Ziphius cavirostris, Globicephala macrorhynchus, Pseudorca crassidens, Feresa attenuata, Orcinus orca, Peponocephala electra, Stenella attenuata, Steno bredanensis, Tursiops truncatus, Grampus griseus",17,Pacific Islands,PACISL,Tonga,TON,50034,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/tongan-archipelago/
135,IMMA,Vatu-i-Ra IMMA,19PACISL171717IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, C1, D2","Megaptera novaeangliae, Stenella longirostris",2,"Globicephala macrorhynchus, Physeter macrocephalus, Pseudorca crassidens, Stenella attenuata, Tursiops truncatus, Balaenoptera acutorostrata, Orcinus orca",7,Pacific Islands,PACISL,Fiji,FJI,14293,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/vatu-i-ra/
136,IMMA,Waters of New Caledonia and Loyalty Islands IMMA,20PACISL171717IMMA,"Criterion A - Species or Population, Criterion D - Special Attributes","A, D2","Physeter macrocephalus, Megaptera novaeangliae",2,"Ziphius cavirostris, Indopacetus pacificus, Globicephala macrorhynchus, Tursiops truncatus, Kogia sima, Kogia breviceps, Grampus griseus, Balaenoptera omurai, Stenella attenuata, Mesoplodon densirostris, Peponocephala electra, Stenella longirostris, Balaenoptera musculus brevicauda, Balaenoptera bonaerensis, Feresa attenuata, Pseudorca crassidens, Balaenoptera borealis, Orcinus orca",18,Pacific Islands,PACISL,New Caledonia,NCL,155056,3,2017,10,2017,10,2017,https://www.marinemammalhabitat.org/portfolio-item/waters-new-caledonia-loyalty-islands/
137,IMMA,Aldabra Atoll IMMA,01WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities","A, C1, C2, C3","Dugong dugon, Megaptera novaeangliae",2,"Delphinus delphis, Globicephala macrorhynchus, Grampus griseus, Mesoplodon densirostris, Orcinus orca, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Tursiops truncatus, Ziphius cavirostris",12,Western Indian Ocean and Arabian Seas,WIOCAS,Seychelles,SYC,393,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/aldabra-atoll/
138,IMMA,Bazaruto Archipelago to Inhambane Bay IMMA,02WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1",Dugong dugon,1,"Sousa plumbea, Orcinus orca, Stenella longirostris, Stenella attenuata, Delphinus delphis, Feresa attenuata, Lagenodelphis hosei, Megaptera novaeangliae, Balaenoptera acutorostrata, Pseudorca crassidens, Tursiops aduncus",11,Western Indian Ocean and Arabian Seas,WIOCAS,Mozambique,MOZ,16280,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/bazaruto-archipelago-inhambane-bay/
139,IMMA,Cape Coastal Waters IMMA,03WIOCAS191919IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","B2, C1",Eubalaena australis,1,"Sousa plumbea, Tursiops truncatus",2,Western Indian Ocean and Arabian Seas,WIOCAS,South Africa,ZAF,8638,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/cape-coastal-waters
140,IMMA,Comoros Island Chain and Adjacent Reef Banks IMMA,04WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B1, B2, C1, C3, D2","Megaptera novaeangliae, Balaenoptera musculus, Physeter macrocephalus, Peponocephala electra, Globicephala macrorhynchus, Stenella longirostris, Tursiops aduncus, Sousa plumbea, Stenella attenuata, Pseudorca crassidens, Dugong dugon",11,"Tursiops truncatus, Pseudorca crassidens, Grampus griseus, Feresa attenuata, Lagenodelphis hosei, Orcinus orca, Indopacetus pacificus, Ziphius cavirostris, Mesoplodon densirostris, Kogia breviceps, Kogia sima, Stenella coeruleoalba, Steno bredanensis",13,Western Indian Ocean and Arabian Seas,WIOCAS,"Comoros, Madagascar, Mayotte","COM, MDG, MYT",65900,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/comoros-island-chain-adjacent-reef-banks/
141,IMMA,Dhofar IMMA,05WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, B2, C1, C2, D2","Balaenoptera musculus, Balaenoptera edeni, Megaptera novaeangliae, Physeter macrocephalus, Pseudorca crassidens, Sousa plumbea",6,"Delphinus delphis tropicalis, Globicephala macrorhynchus, Grampus griseus, Kogia sima, Orcinus orca, Peponocephala electra, Stenella longirostris, Steno bredanensis, Tursiops aduncus, Tursiops truncatus, Ziphius cavirostris",11,Western Indian Ocean and Arabian Seas,WIOCAS,Oman,OMN,20680,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/dhofar/
142,IMMA,Farasan Archipelago IMMA,06WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C2","Balaenoptera edeni, Sousa plumbea, Stenella longirostris, Tursiops aduncus, Dugong dugon",5,Orcinus orca,1,Western Indian Ocean and Arabian Seas,WIOCAS,Saudi Arabia,"SAU, YEM",6326,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/farasan-archipelago/
143,IMMA,Greater Pemba Channel IMMA,07WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion D - Special Attributes","A, B1, D2","Sousa plumbea, Tursiops aduncus",2,"Delphinus delphis tropicalis, Globicephala macrorhynchus, Grampus griseus, Kogia breviceps, Lagenodelphis hosei, Megaptera novaeangliae, Mesoplodon densirostris, Pseudorca crassidens, Stenella attenuata, Stenella longirostris, Tursiops truncatus",11,Western Indian Ocean and Arabian Seas,WIOCAS,"Kenya, Tanzania","KEN, TZA",6819,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/greater-pemba-channel/
144,IMMA,Gulf of Kutch IMMA,08WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C2","Dugong dugon, Sousa plumbea",2,Neophocaena phocaenoides,1,Western Indian Ocean and Arabian Seas,WIOCAS,India,IND,3025,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/gulf-kutch/
145,IMMA,Gulf of Masirah and Offshore Waters IMMA,09WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion C - Key Life Cycle Activities, Criterion D - Special Attributes","A, C2, D2","Megaptera novaeangliae, Sousa plumbea",2,"Balaenoptera edeni, Delphinus delphis tropicalis, Orcinus orca, Physeter macrocephalus, Pseudorca crassidens, Stenella longirostris, Tursiops aduncus, Tursiops truncatus, Ziphius cavirostris",9,Western Indian Ocean and Arabian Seas,WIOCAS,Oman,OMN,26350,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/gulf-masirah-offshore-waters/
146,IMMA,Gulf of Salwa IMMA,10WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B2, C1, C2",Dugong dugon,1,"Balaenoptera edeni, Delphinus delphis tropicalis, Neophocaena phocaenoides, Orcinus orca, Sousa plumbea, Tursiops aduncus",6,Western Indian Ocean and Arabian Seas,WIOCAS,"Bahrain, Qatar, Saudi Arabia","BHR, QAT, SAU",12580,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/gulf-salwa/
147,IMMA,Indus Estuary and Creeks IMMA,11WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance","A, B1","Sousa plumbea, Neophocaena phocaenoides",2,Tursiops aduncus,1,Western Indian Ocean and Arabian Seas,WIOCAS,"India, Pakistan","IND, PAK",3288,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/indus-estuary-creeks/
148,IMMA,Kisite-Shimoni IMMA,12WIOCAS191919IMMA,"Criterion A - Species or Population Vulnerability, Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","A, B1, C1","Tursiops aduncus, Sousa plumbea, Megaptera novaeangliae",3,"Dugong dugon, Stenella longirostris",2,Western Indian Ocean and Arabian Seas,WIOCAS,"Kenya, Tanzania","KEN, TZA",743,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/kisite-shimoni/
149,IMMA,Lakshadweep Archipelago IMMA,13WIOCAS191919IMMA,Criterion D - Special Attributes,D2,NULL,NULL,"Tursiops aduncus, Stenella longirostris, Tursiops truncatus, Globicephala macrorhynchus, Grampus griseus, Stenella attenuata, Stenella coeruleoalba, Pseudorca crassidens, Feresa attenuata, Kogia sima, Physeter macrocephalus, Ziphius cavirostris, Orcinus orca, Balaenoptera musculus",14,Western Indian Ocean and Arabian Seas,WIOCAS,India,IND,90180,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/lakshadweep-archipelago
150,IMMA,Lamu Offshore IMMA,14WIOCAS191919IMMA,Criterion A - Species or Population Vulnerability,A,Balaenoptera musculus,1,"Balaenoptera edeni, Globicephala macrorhynchus, Grampus griseus, Indopacetus pacificus, Megaptera novaeangliae, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Stenella longirostris, Tursiops truncatus",10,Western Indian Ocean and Arabian Seas,WIOCAS,"Kenya, Somalia, High Seas","KEN, SOM, ABNJ",62750,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/lamu-offshore/
151,IMMA,Madagascar Central East Coast IMMA,15WIOCAS191919IMMA,"Criterion B - Distribution and Abundance, Criterion C - Key Life Cycle Activities","B2, C1, C3",Megaptera novaeangliae,1,"Feresa attenuata, Indopacetus pacificus, Peponocephala electra, Physeter macrocephalus, Pseudorca crassidens, Tursiops aduncus, Tursiops truncatus, Ziphius cavirostris",8,Western Indian Ocean and Arabian Seas,WIOCAS,Madagascar,MDG,59940,4,2019,12,2019,12,2019,https://www.marinemammalhabitat.org/portfolio-item/madagascar-central-east-coast/
